ratio,dbh,q025,q05,q25,q50,q75,q95,q975
fast:slow,3.7550128485572913,0.6263926790997391,0.6392252473867285,0.679527139389752,0.7077917993387732,0.7370320435628448,0.7837002214157486,0.7994209255989808
fast:slow,3.977356622015655,0.6264882542431689,0.6389968074152494,0.680771594885438,0.7104186961305082,0.741039167289343,0.7892299747728575,0.8074763071768456
fast:slow,4.212865930610521,0.6251521720999108,0.6377754603760264,0.6826295882601012,0.7129506370732648,0.7458192387397653,0.7937708609831515,0.8147346913211012
fast:slow,4.462320338854692,0.6246432577105001,0.6387481088333966,0.6841969653121325,0.7162006750882528,0.7502322399163998,0.8001896642708933,0.8222081456751974
fast:slow,4.726545571240288,0.6240017690119904,0.6380422636865949,0.685439926491848,0.7186663492631405,0.7557399924035185,0.8064416323993017,0.829411456661055
fast:slow,5.006416245487449,0.6229677248503266,0.637812661251606,0.6863874040261955,0.7217513620448018,0.7602731071384602,0.8126888385827727,0.8379233309442226
fast:slow,5.30285876763557,0.6217388534292074,0.6362249983591594,0.6874472635895142,0.7245053652483959,0.7649243875872006,0.8202393249807691,0.8436094834462761
fast:slow,5.616854398560204,0.6208944713535581,0.6348105497882418,0.6881085647379416,0.7268414478379113,0.7702468973650458,0.8272391703835961,0.8520281976975175
fast:slow,5.9494425020661375,0.6194728829323547,0.6339528195039945,0.6885558539267171,0.7293126098643332,0.7749445505809462,0.8354358939858034,0.8588109496989085
fast:slow,6.301723985308247,0.6175868990282293,0.6343365813474058,0.6891476695956092,0.7309161098796415,0.7789142983372372,0.8419114285168731,0.8666476174298701
fast:slow,6.674864942928363,0.6170771241586904,0.6332230511619492,0.6894569982544522,0.7326161784938434,0.7816142723046631,0.8483957417522884,0.8722231225689036
fast:slow,7.070100516970632,0.6160786948088653,0.6343849553795261,0.6898411812302264,0.7344819868646657,0.7834603796252315,0.8546407603263841,0.8771957286054465
