year,model,fg,dbh,q025,q05,q25,q50,q75,q95,q975
1995,3 segment,all,5.616854398560204,125.98985985756954,127.15098243742133,130.9107309861844,133.62249618698996,137.10753443959698,143.46705394555238,146.3087849820912
1995,3 segment,all,5.9494425020661375,118.91565783098076,120.09667040633725,123.69541745346109,126.35110091697328,129.79815794554344,135.9225708656839,138.59879929397968
1995,3 segment,all,6.301723985308247,112.13374338771892,113.34800800920581,116.86410595113239,119.50790443375132,122.95664360075592,128.7828866703715,131.3976749027946
1995,3 segment,all,6.674864942928363,105.73324501661261,106.97426271980481,110.42264897454848,112.98914885748471,116.3139064301399,121.86444867817562,124.22206366739029
1995,3 segment,all,7.070100516970632,99.68753586681817,100.90354925538522,104.2718938064937,106.7676290560766,109.97920937680517,115.22957334133442,116.98411446408436
1995,3 segment,all,7.4887389853522075,93.64064603256381,94.92408240193033,98.33552343403281,100.83817192210161,103.86276567127912,108.79894492166429,110.26558169408972
1995,3 segment,all,7.932166092422615,87.59556808394464,89.18441448299674,92.68966908406254,95.07554830193544,97.69845127709857,102.19306842590566,103.60590390726172
1995,3 segment,all,8.401849635946396,81.47602199981803,83.41327769185186,87.11854929521937,89.3020371145445,91.7485282452659,95.65015748934525,97.0069365782249
1995,3 segment,all,8.899344325692619,75.65780469539172,77.18620371273731,81.46521499461986,83.65676853261186,85.86267156199654,89.41463035768048,90.6534139587847
1995,3 segment,all,9.426296929713669,69.70418989838468,71.35187966692385,75.43388267543045,77.76065365556636,80.01209620526306,83.34238073835283,84.60611551271333
1995,3 segment,all,9.984451725348194,64.14834703726986,65.63780490072227,69.26458088602796,71.52900232217897,73.73089380952976,76.97526390715116,78.07561061535803
1995,3 segment,all,10.575656272991674,59.00083400402523,60.24773866247975,63.47322054840605,65.45173364726386,67.37849840504673,70.24342533484041,71.1353915549932
1995,3 segment,all,11.201867531746496,54.25731968590153,55.34945606996797,58.15254412265417,59.911289129528214,61.58068055210771,64.07935678027737,64.80511469150224
1995,3 segment,all,11.865158337195048,49.81387956603043,50.82294330015845,53.28957204108143,54.81082308086994,56.276196669408776,58.463614845475696,59.10112920633855
1995,3 segment,all,12.56772426273815,45.81640439605403,46.70551876900681,48.830628864914964,50.15761368246776,51.437940342414066,53.317426707164955,53.96123732525001
1995,3 segment,all,13.311890887210561,42.08290528205863,42.921262981515376,44.751100512831954,45.90874645131069,47.03229295385442,48.65962564449862,49.254086064297425
1995,3 segment,all,14.100121492830345,38.712443663642816,39.41582817815063,40.998938148954764,42.0092701186944,42.98845269807784,44.39108416746038,44.926505808142664
1995,3 segment,all,14.935025218963206,35.548118127571236,36.18448591727584,37.55662716829979,38.447594144325116,39.308525427207705,40.54798458849416,40.9968771983419
1995,3 segment,all,15.81936569869178,32.66195515087745,33.24517711239298,34.38736028456219,35.180720114619405,35.93568188591269,37.005721078386586,37.429039665283504
1995,3 segment,all,16.7560702067779,30.03047802197532,30.484740108498393,31.492299856356016,32.194052690257244,32.85404400609693,33.81086535595517,34.158961660242404
1995,3 segment,all,17.74823934929885,27.583744287897257,27.982585208651646,28.859630877326733,29.466022540083205,30.03558807602071,30.86422179850661,31.212527907657492
1995,3 segment,all,18.799157327031324,25.319695783505964,25.652132545484033,26.433936745702148,26.96602226719906,27.464349771649687,28.210322565834122,28.546082890054993
1995,3 segment,all,19.91230280655625,23.244261389182608,23.503552608148887,24.213843979972765,24.679194170723704,25.126944584162523,25.779265181315445,26.078407641445388
1995,3 segment,all,21.091360435069106,21.292297143112794,21.547665431163875,22.175527014699902,22.59015015219419,22.979576609274556,23.590518268450307,23.85311569213194
1995,3 segment,all,22.34023303701118,19.53644579327792,19.748609420416276,20.30126596635978,20.67119194791103,21.01689706742981,21.579883309803396,21.80296563739482
1995,3 segment,all,23.663054532894137,17.89296810109062,18.082776491860386,18.57884313257606,18.916494097845025,19.225613366418163,19.738510785118667,19.95826398066989
