"fg","year","bin_midpoint","bin_value","bin_count","bin_min","bin_max"
"fg1",1990,27.6561096332728,1.00404435786222,340,23.703840057551,31.6083792089945
"fg1",1990,36.8786153893889,0.529283511686911,239,31.6083792089945,42.1488515697832
"fg1",1990,49.176557768712,0.234167197193897,141,42.1488515697832,56.2042639676407
"fg1",1990,65.5755051659368,0.0734810642766594,59,56.2042639676407,74.9467463642328
"fg1",1990,87.4430231166713,0.0149437602024549,16,74.9467463642328,99.9392998691097
"fg1",1990,116.602720366912,0.00210124959679553,3,99.9392998691097,133.266140864714
"fg1",1990,155.486325979643,0,0,133.266140864714,177.706511094572
"fg1",1990,207.336479719973,0,0,177.706511094572,236.966448345373
"fg1",1990,276.47714711774,0,0,236.966448345373,315.987845890107
"fg1",1995,1.16673541359231,68.039161991494,972,1,1.33347082718462
"fg1",1995,1.55580763706853,40.0003824270611,762,1.33347082718462,1.77814444695244
"fg1",1995,2.07462409674193,35.1148249347244,892,1.77814444695244,2.37110374653142
"fg1",1995,2.76645071037962,24.266880518394,822,2.37110374653142,3.16179767422781
"fg1",1995,3.6889813171354,20.1243795026827,909,3.16179767422781,4.21616496004298
"fg1",1995,4.91914896842916,13.3484594094005,804,4.21616496004298,5.62213297681534
"fg1",1995,6.55954164397562,8.11781543895827,652,5.62213297681534,7.4969503111359
"fg1",1995,8.74695742194416,6.54524754697866,701,7.4969503111359,9.99696453275241
"fg1",1995,11.6638125487886,4.48130510797337,640,9.99696453275241,13.3306605648247
"fg1",1995,15.5533537675595,2.53097618683424,482,13.3306605648247,17.7760469702942
"fg1",1995,20.7399435139226,1.66964199062719,424,17.7760469702942,23.703840057551
"fg1",1995,27.6561096332728,0.989278999658368,335,23.703840057551,31.6083792089945
"fg1",1995,36.8786153893889,0.59793534793082,270,31.6083792089945,42.1488515697832
