"fg","dbh_bin","q025","q25","q50","q75","q975"
"fg5",1.15546278812523,1.65752829950704,3.85444760123911,6.07923048002863,9.82787610670447,24.8482270170407
"fg5",1.51472572135904,3.13068912433852,7.01673562899709,10.8379472290427,16.3923558669484,37.8473649085534
"fg5",1.985692689134,4.96518302069231,12.9265263813711,20.9659357992315,34.0217348871028,82.4591283378317
"fg5",2.60309533275933,11.083005136038,28.2231095149193,44.2828179050572,71.8433214499619,164.625629423141
"fg5",3.41246424913243,20.7689086070877,47.3029559239254,73.2476474777857,113.892449560539,269.861082572196
"fg5",4.47348666222804,36.9630445635608,83.319052210436,127.794660739401,199.753586888433,488.541538713842
"fg5",5.86440808053007,62.5130337403241,168.9044061904,272.981042881045,448.353878585524,1083.3653631177
"fg5",7.68780254233678,152.509690286067,375.976570223331,568.28895627059,920.504994409617,1864.31284249127
"fg5",10.0781369779126,222.832685393393,537.754798188683,893.636939187567,1406.50338190975,3321.32294365495
"fg5",13.2116875253013,350.972911922,874.462815538532,1485.34358887755,2289.74041795633,4777.17241838501
"fg5",17.3195390823467,882.554927604499,2211.75433806695,3339.28627962926,5084.69269630927,10599.1579024733
"fg5",22.7046267519177,2104.12554576953,4969.98111000805,7113.27789536234,10922.819342588,18641.0052921799
"fg5",29.7640759083095,3346.34308478717,6228.52291999553,8776.97006201821,13368.2721806295,27485.0332615187
"fg5",39.0184883616633,7694.22423367135,11469.3528640741,19811.6495023738,26813.5962505021,40078.7124387869
"fg5",51.1503343399355,12909.9743097644,20299.8575899176,29104.0989928976,36424.3477030353,48896.4811676848
"fg5",67.054281519984,34770.9626307596,45754.2840841038,50987.410349446,56758.0849380415,64509.2399324728
"fg5",87.9031726416461,51188.4349552625,77949.6571672793,88078.2188995848,88636.3337132407,89557.3492449036
"fg5",115.234517249494,154183.09679933,237694.30095207,268807.904813409,277583.214296228,300781.023626965
NA,1.15546278812523,2.13377564080747,3.88975383189296,5.93406351784639,9.53020833856314,20.9060925729777
NA,1.51472572135904,3.80811202795294,6.81999891543977,10.5780889665359,14.9563872044802,27.8158524676157
NA,1.985692689134,6.21655680218278,14.349338465823,22.8474903727668,34.9193619536836,77.1377404382809
NA,2.60309533275933,16.07795767666,32.8128240586434,51.0573890920924,77.8149145095712,187.21086148513
NA,3.41246424913243,16.459292045899,43.6646465091294,68.8224047548528,115.125685240554,220.494581452112
NA,4.47348666222804,19.6705809646916,80.5900216758371,129.984647724805,184.024017950449,528.365755987464
NA,5.86440808053007,19.7141787607372,65.4637578770583,183.216746928429,373.734560977381,905.161725979359
NA,7.68780254233678,30.6404199329676,78.0384080566425,226.83352735164,645.720618141274,1309.13486109067
NA,10.0781369779126,71.3063392881231,343.107859595788,833.9220434954,1225.85442418511,2367.95685533092
NA,13.2116875253013,556.441781626304,873.803139238228,1739.60459891036,2486.56636651546,4518.8506261009
NA,17.3195390823467,1239.27576235984,3797.07262319421,4173.61132741854,5085.54025772377,9612.56564726747
NA,22.7046267519177,9403.93349935364,9542.19463566303,9695.81812045123,11410.1833389834,12953.1120356624
NA,39.0184883616633,25927.4710026762,25927.4710026762,25927.4710026762,25927.4710026762,25927.4710026762
NA,51.1503343399355,23836.7850762119,32028.854192101,41131.1532097556,41189.8109180977,41242.6028556057
NA,67.054281519984,56746.4868028002,60049.2134253968,63718.9096727263,67388.6059200558,70691.3325426524
NA,198.033498603164,285865.20819247,285865.20819247,285865.20819247,285865.20819247,285865.20819247
