"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"fgfg2",7.68780254233678,18.3370558308254,37.6433978208561,55.5250562751584,84.1858452930355,167.034744159581,55.770619182862,1.79423776274881,53.1461073198272,58.5247371989451
"fgfg2",10.0781369779126,20.1638677838964,42.7196162839349,64.1943182594288,94.8500820230838,193.808140839437,63.4117463419133,1.77245668734453,60.5497056936496,66.4090688479248
"fgfg2",13.2116875253013,24.9758304298643,50.6368459033047,73.5738330327719,113.807564554952,217.905555687521,74.445151901025,1.76944522061568,70.9749405385557,78.0850339502019
"fgfg2",17.3195390823467,41.3492461967827,81.6372911675391,123.96000148111,188.551225710903,309.916715533106,122.501028111801,1.74265365368739,116.82768348099,128.449879697307
"fgfg2",22.7046267519177,57.1398368809032,114.047797115962,172.674986896335,241.360609557254,346.650363090311,160.22946032875,1.64638147195822,153.225531051132,167.553538768126
"fgfg2",29.7640759083095,69.7718916324413,133.861760952301,194.107909296001,263.838021352615,354.457921323133,179.680962875531,1.59908278824054,170.68670757336,189.149166205587
"fgfg2",39.0184883616633,98.4076129048217,153.915957349649,234.341640818182,290.127819442264,394.668674078608,215.016011340619,1.49074336208319,204.062274055913,226.557727765798
"fgfg2",51.1503343399355,149.583415336305,219.88590758176,293.626858917843,362.876505852437,410.214854244136,277.992793475674,1.35734004027172,266.439137367339,290.047453193271
"fgfg2",67.054281519984,168.751884726104,250.740124330597,305.826495059563,375.807284571143,410.900039287712,298.328855958441,1.29298616695295,286.926197094216,310.18466490269
"fgfg2",87.9031726416461,217.103387831628,268.30843596619,292.791267401287,329.34839625062,400.854140279915,295.415544965927,1.18073250223592,285.607334854064,305.560584612114
"fgfg2",115.234517249494,310.162170541094,412.197295117165,412.197295117165,412.197295117165,412.197295117165,393.665340892856,1.10761751211392,380.370113042004,407.425282130867
"fgfg2",151.063875929237,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,1,412.197295117165,412.197295117165
"fgfg2",198.033498603164,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,1,412.197295117165,412.197295117165
"fgfg3",1.15546278812523,2.84101115629102,5.89092019172109,9.06616795463459,14.2050557814551,35.0530641195319,9.29224482517449,1.90481542972775,9.23061056450925,9.35429062763984
"fgfg3",1.51472572135904,6.05803849503233,11.82361995927,17.9234380301301,26.7389285297979,59.1066104129974,18.0879294580777,1.80773015544949,17.8137965853368,18.3662809055373
"fgfg3",1.985692689134,6.68473213244947,13.3694642648989,20.0124168215206,29.7470579894001,64.1191150229386,20.1127280401721,1.79958223194202,19.8065903012326,20.4235975534239
"fgfg3",2.60309533275933,7.60388280066127,14.9988677221835,22.5609709470169,33.3401015105917,71.7355316963483,22.635352045948,1.7845855766932,22.2993352352433,22.9764321150811
"fgfg3",3.41246424913243,8.69015177218431,16.8371690586071,25.7362187099304,39.2728012781406,86.5777260091776,26.0181609577633,1.8244606501746,25.5933987051779,26.449972800491
