"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"fg3",1995,49.176557768712,42.1488515697832,56.2042639676407,229,23.2733312796149,2.8762977637496,2.35210640692053,10.7682317863454,25.7710961366493,52.1523999796601,122.234496322934,20.296973258014,26.6861438878253
"fg3",1995,65.5755051659368,56.2042639676407,74.9467463642328,77,35.826236374965,2.82408724534755,4.59757145626616,19.1922175281904,36.3259041259463,68.0397548125298,263.865657848493,28.4114678822699,45.1760964309711
"fg3",1995,87.4430231166713,74.9467463642328,99.9392998691097,18,152.262828616371,2.29341540227617,26.4070930970891,111.804056929655,198.712448759613,265.459823870439,420.723276975864,103.76775744702,223.421701968409
"fg3",1995,116.602720366912,99.9392998691097,133.266140864714,3,126.398772599902,2.32484454948551,66.1637174028676,80.2671478554533,95.9376261361041,210.898220809822,314.362756016169,48.6560360736218,328.359048620143
"fg3",1995,155.486325979643,133.266140864714,177.706511094572,1,211.72863070695,NA,211.72863070695,211.72863070695,211.72863070695,211.72863070695,211.72863070695,NA,NA
"fg3",1995,207.336479719973,177.706511094572,236.966448345373,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",1995,276.47714711774,236.966448345373,315.987845890107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",2000,1.16673541359231,1,1.33347082718462,14939,0.00700441607999096,1.51600841827253,0.00415436768623865,0.0049754722436249,0.00586720260907235,0.0100295410509508,0.0168200108150608,0.0069355381525343,0.00707397804505024
"fg3",2000,1.55580763706853,1.33347082718462,1.77814444695244,16068,0.0138263140810634,1.70156401949784,0.00610653008143627,0.00828770512498212,0.0141366851988132,0.0205078430381264,0.0380891590974738,0.0137058938757765,0.0139477923002218
"fg3",2000,2.07462409674193,1.77814444695244,2.37110374653142,17384,0.0257722167669402,1.87867496965673,0.00923905554524831,0.0144697841733006,0.0261145682121332,0.042483334572956,0.0833359657312554,0.0255282290717275,0.0260185363902803
"fg3",2000,2.76645071037962,2.37110374653142,3.16179767422781,15139,0.0487075105256134,2.04198196809741,0.0147841079803869,0.0267861097958254,0.0499205483230074,0.0853932650105697,0.17710225398632,0.0481542170281276,0.0492671613831239
"fg3",2000,3.6889813171354,3.16179767422781,4.21616496004298,11744,0.089113371833948,2.17929951963939,0.0234128616391068,0.0458179033445997,0.0904857441829349,0.163844572889784,0.356496769270531,0.0878654446018607,0.0903790230118214
"fg3",2000,4.91914896842916,4.21616496004298,5.62213297681534,7633,0.175947635626818,2.29079773184801,0.0398333482430594,0.0934886387716862,0.186155987435928,0.339586632801282,0.735291070286163,0.172703967084869,0.179252225673858
"fg3",2000,6.55954164397562,5.62213297681534,7.4969503111359,5230,0.321105807059264,2.36789391255878,0.0700800834271089,0.169133115291961,0.343664249843945,0.640027155997054,1.38573783565556,0.313688362947732,0.328698643323156
"fg3",2000,8.74695742194416,7.4969503111359,9.99696453275241,3909,0.587007425101792,2.38231150528362,0.114654672362487,0.317962468115498,0.639765499136672,1.15030543332255,2.56692773396673,0.571244816479258,0.603204978293484
"fg3",2000,11.6638125487886,9.99696453275241,13.3306605648247,2559,1.11092998748128,2.48398205715622,0.183145989659625,0.598308664362408,1.21517609469695,2.24839190624929,4.98871846535866,1.07244927216759,1.15079143518901
"fg3",2000,15.5533537675595,13.3306605648247,17.7760469702942,1337,2.16892193889614,2.72422706686039,0.282064943245463,1.08272338734148,2.46175019855827,4.66617439262134,11.43352367977,2.05548321797506,2.28862115530154
"fg3",2000,20.7399435139226,17.7760469702942,23.703840057551,885,4.65493869240206,2.71914801838754,0.520129434075031,2.49133754861761,5.27388097588269,9.85940306891875,20.7423597233698,4.35804813259935,4.97205482150049
"fg3",2000,27.6561096332728,23.703840057551,31.6083792089945,657,8.6122783557913,2.86353632179695,0.721826556194702,4.54151734775156,10.7493568262478,18.9751828626884,47.9623787928575,7.9465894286845,9.33373230657895
"fg3",2000,36.8786153893889,31.6083792089945,42.1488515697832,517,16.2195974395577,2.80039745428363,1.35392862934894,8.70012880583981,18.1798519637203,33.6977175402581,84.9610744472395,14.8419214866217,17.7251538042726
"fg3",2000,49.176557768712,42.1488515697832,56.2042639676407,239,24.6347607732837,2.78550432240429,2.69565658396348,12.0952469486133,27.6062949602296,52.3762500895644,153.721724854004,21.6343399407917,28.0513036227492
"fg3",2000,65.5755051659368,56.2042639676407,74.9467463642328,84,39.5095842783777,3.28702789591264,2.71168993267947,20.4793115673636,38.7999976791972,87.0360661538382,351.85129776455,30.6326282456128,50.9589721565533
"fg3",2000,87.4430231166713,74.9467463642328,99.9392998691097,18,146.752433904851,2.13607331145276,39.6308389361182,92.924393415331,147.470101531001,204.992516242321,526.424598650554,103.350651036039,208.380659832398
"fg3",2000,116.602720366912,99.9392998691097,133.266140864714,5,322.004580140732,1.81382602193771,144.599754121444,282.036380574522,348.697193520578,418.847681813848,626.738243066484,191.072045128586,542.658919895011
"fg3",2000,155.486325979643,133.266140864714,177.706511094572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",2000,207.336479719973,177.706511094572,236.966448345373,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",2000,276.47714711774,236.966448345373,315.987845890107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fg3",2005,1.16673541359231,1,1.33347082718462,12768,0.00686396755936918,1.49623285393187,0.00411183294706521,0.00496016224413001,0.00580101698601692,0.00983888824865755,0.0163814631310007,0.00677924960688924,0.00694974420298583
"fg3",2005,1.55580763706853,1.33347082718462,1.77814444695244,12953,0.0140173740420687,1.71130885870937,0.00607038121976266,0.00827235785594865,0.014212206628015,0.0215187646664138,0.0386482246668274,0.0138747658170086,0.0141614480292268
"fg3",2005,2.07462409674193,1.77814444695244,2.37110374653142,14695,0.0273899817785155,1.90046339326731,0.00933155876290473,0.0155935924838728,0.0288254683047326,0.0454453745020984,0.0851893038571854,0.0270996332616961,0.0276834411219798
"fg3",2005,2.76645071037962,2.37110374653142,3.16179767422781,13721,0.0502416774442498,2.04985787460625,0.014657028886648,0.0273070011097682,0.0520928987733032,0.0884497543264432,0.179039982198014,0.0496381147350559,0.0508525790289403
"fg3",2005,3.6889813171354,3.16179767422781,4.21616496004298,10789,0.0965063413454724,2.18913026726659,0.0238820023762076,0.0522322778644962,0.101756563778255,0.179174094065173,0.378383942764654,0.0950871229187913,0.0979467422507143
