"ratio","dbh","variable","q025","q05","q25","q50","q75","q95","q975"
"fast:slow",59.4019214546141,"density",0.53414397746676,0.551860287796377,0.617382484713846,0.666398187951214,0.724211865886111,0.825745316497573,0.862274486653074
"fast:slow",62.9192589177791,"density",0.570309453886897,0.591461959718721,0.661350454138043,0.711116753520648,0.768229032832082,0.86472566294309,0.89808038784275
"fast:slow",66.6448667958873,"density",0.602915609192736,0.626091065613486,0.700470494474259,0.757534631065105,0.820224876531437,0.920448827624261,0.95518809898471
"fast:slow",70.5910773050526,"density",0.630013700091307,0.653088555742241,0.738062907819165,0.807347971938101,0.87963687487636,0.993219994651117,1.03465110867777
"fast:slow",74.7709528829822,"density",0.646149556023049,0.67325223492242,0.775215006357346,0.86018858181575,0.948997099686453,1.09119347434408,1.13954719221619
"fast:slow",79.1983294272374,"density",0.657728504581526,0.691351075232983,0.812905876809941,0.914675518780103,1.02592698604155,1.20940774041383,1.26167348200501
"fast:slow",83.8878620937411,"density",0.664041056390929,0.706323036252793,0.849400143010085,0.973112313440258,1.11111615916711,1.34352836917269,1.41727560106023
"fast:slow",88.8550738071293,"density",0.670308373222292,0.717022346446412,0.886597784756125,1.03575643108893,1.20544937513328,1.49437411026761,1.60305426146217
"fast:slow",94.116406643524,"density",0.669382022256038,0.728658309295647,0.924891070783856,1.10300894542889,1.31215931170377,1.66024520422171,1.81615530980743
"fast:slow",99.6892762558085,"density",0.669203263114124,0.736569253868048,0.96455565188834,1.17260304343922,1.42430961217483,1.86032942859466,2.05419606866996
"fast:slow",105.592129521561,"density",0.663648582242803,0.746426639583812,1.00670141659519,1.25223806023731,1.54072328620548,2.08199982023607,2.31627892364121
"fast:slow",111.844505604468,"density",0.661361345089759,0.755959219946441,1.04705777989516,1.33239889115326,1.67892191036854,2.32731137242619,2.6273246898857
"fast:slow",118.467100631337,"density",0.665788157483842,0.759228887872326,1.09255081115926,1.41544521165686,1.82914855198665,2.613331984278,2.96129505777566
"fast:slow",125.481836198796,"density",0.661749515780556,0.765795203779313,1.14026158219357,1.50592471570677,1.9869243029199,2.91300098710453,3.34467561795324
"fast:slow",132.911931936456,"density",0.664571274596581,0.772921115099035,1.18733949515197,1.60523604641122,2.16184230210537,3.26349938361547,3.77827671001775
"fast:slow",140.781982366709,"density",0.664783651024952,0.777049539169034,1.23971929971845,1.71016264222569,2.35800057254476,3.66569020775299,4.26785713194563
"fast:slow",149.118038315596,"density",0.66413062612327,0.781068092753146,1.29246715412539,1.82477454976988,2.56653876126943,4.1092184932685,4.85724018388703
"fast:slow",157.947693144217,"density",0.656255804673852,0.792012047679472,1.3455303344674,1.94075558497025,2.80010746778911,4.60220678393866,5.46772482209856
"fast:slow",167.300174086119,"density",0.660279483492901,0.792224206788587,1.39885894179086,2.06544535135756,3.04930256768312,5.1704625505931,6.18655580169676
