species,fg,crowndepth_a,crowndepth_b,height_a,height_b,height_k,area_a,area_b,height_corr_factor,area_corr_factor,crowndepth_corr_factor
ingaco,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingafa,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingago,5,-0.5969961007084831,0.6852484799843792,59,0.72,23.1,0.639,1.37,1.017,1.163,1.259334742287724
ingam1,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingama,1,-0.9978056718299599,0.89336410078907,56.1,0.69,17.5,0.658,1.4,1.017,1.163,1.259334742287724
ingami,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingape,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingapu,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaqu,5,-0.5969961007084831,0.6852484799843792,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaru,1,-0.6749005336882523,0.6456136204616302,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingas1,5,-0.5969961007084831,0.6852484799843792,54.6,0.67,18.7,0.735,1.4,1.017,1.163,1.259334742287724
ingasa,1,-0.6749005336882523,0.6456136204616302,58.3,0.74,22.9,0.657,1.38,1.017,1.163,1.259334742287724
ingasp,2,-0.21092479648209866,0.5322461660814561,53.5,0.73,22.1,0.541,1.37,1.017,1.163,1.259334742287724
ingath,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
ingaum,5,-0.5969961007084831,0.6852484799843792,63.5,0.59,17.2,0.881,1.32,1.017,1.163,1.259334742287724
jac1co,2,-0.22278481238877595,0.4644631672957722,51.4,0.75,14.6,0.5,1.36,1.017,1.163,1.259334742287724
koanwe,4,-0.5559192058271225,0.7791386152933956,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
laciag,4,-0.38328096174866,0.8380573624878644,62,0.71,21.9,0.467,1.35,1.017,1.163,1.259334742287724
lacmpa,2,-0.21092479648209866,0.5322461660814561,53.4,0.69,17.4,0.538,1.31,1.017,1.163,1.259334742287724
laetpr,2,-0.21092479648209866,0.5322461660814561,48.2,0.81,17.2,0.591,1.4,1.017,1.163,1.259334742287724
laetth,4,-0.5559192058271225,0.7791386152933956,60.3,0.65,18,0.705,1.38,1.017,1.163,1.259334742287724
lafopu,2,-0.21092479648209866,0.5322461660814561,57.17,0.7278,21.57,0.5659,1.341,1.017,1.163,1.259334742287724
