sp,Genus,Species,Family,wsg,idlevel
hameax,Hamelia,axillaris,Rubiaceae,0.457071168,species
hamepa,Hamelia,patens,Rubiaceae,0.39643937,species
hampap,Hampea,appendiculata,Malvaceae,0.287770868,species
hassfl,Hasseltia,floribunda,Salicaceae,0.565203238,species
hedysc,Hedyosmum,scaberrimum,Chloranthaceae,0.45,genus
heisac,Heisteria,acuminata,Erythropalaceae,0.682125856,species
heisco,Heisteria,concinna,Erythropalaceae,0.718525656,species
hel1to,Helicostylis,tovarensis,Moraceae,0.643,genus
heliam,Heliocarpus,americanus,Malvaceae,0.207042307,species
henrfa,Henriettella,fascicularis,Melastomataceae,0.559673065,species
henrsu,Henriettea,succosa,Melastomataceae,0.753503886,species
henrtr,Henriettella,trachyphylla,Melastomataceae,0.48,genus
henrtu,Henriettella,tuberculosa,Melastomataceae,0.47,species
herndi,Hernandia,didymantha,Hernandiaceae,0.2795,species
hernst,Hernandia,stenura,Hernandiaceae,0.295727273,genus
herrny,Herrania,nycterodendron,Malvaceae,0.307970769,genus
herrpu,Herrania,purpurea,Malvaceae,0.307970769,species
hevebr,Hevea,brasiliensis,Euphorbiaceae,0.466625,species
hirt5,Hirtella,sp.5,Chrysobalanaceae,0.773021076,genus
hirtam,Hirtella,americana,Chrysobalanaceae,0.755267136,species
hirtgu,Hirtella,guatemalensis,Chrysobalanaceae,0.773021076,genus
hirtla,Hirtella,latifolia,Chrysobalanaceae,0.773021076,genus
hirtra,Hirtella,racemosa,Chrysobalanaceae,0.67180772,species
hirttr,Hirtella,triandra,Chrysobalanaceae,0.606175461,species
hirttu,Hirtella,tubiflora,Chrysobalanaceae,0.732762924,species
hortco,Hortia,colombiana,Rutaceae,0.755327948,species
humidi,Humiriastrum,diguense,Humiriaceae,0.731734418,species
huracr,Hura,crepitans,Euphorbiaceae,0.3675,species
hybapr,Hybanthus,prunifolius,Violaceae,0.580445494,species
hyeral,Hieronyma,alchorneoides,Euphorbiaceae,0.584981498,species
hyerob,Hieronyma,oblonga,Euphorbiaceae,0.454615819,species
hym1me,Hymenolobium,mesoamericanum,Fabaceae-papilionoideae,0.652777778,genus
hymeco,Hymenaea,courbaril,Fabaceae-caesalpinioideae,0.764049399,species
inga11,Inga,sp.11,Fabaceae-mimosoideae,0.575244353,genus
inga15,Inga,sp.15,Fabaceae-mimosoideae,0.575244353,genus
inga18,Inga,sp.18,Fabaceae-mimosoideae,0.575244353,genus
inga24,Inga,sp.24,Fabaceae-mimosoideae,0.575244353,genus
inga31,Inga,sp.31,Fabaceae-mimosoideae,0.575244353,genus
inga6,Inga,sp.6,Fabaceae-mimosoideae,0.575244353,genus
inga7,Inga,sp.7,Fabaceae-mimosoideae,0.575244353,genus
inga8,Inga,sp.8,Fabaceae-mimosoideae,0.575244353,genus
ingaac,Inga,acrocephala,Fabaceae-mimosoideae,0.5125,species
ingaal,Inga,alba,Fabaceae-mimosoideae,0.586111111,species
ingabe,Inga,bella,Fabaceae-mimosoideae,0.575244353,genus
ingaca,Inga,capitata,Fabaceae-mimosoideae,0.592333333,species
ingach,Inga,chocoensis,Fabaceae-mimosoideae,0.553417787,species
ingaci,Inga,ciliata,Fabaceae-mimosoideae,0.575244353,genus
ingaco,Inga,cocleensis,Fabaceae-mimosoideae,0.666574415,species
ingadw,Inga,dwyeri,Fabaceae-mimosoideae,0.575244353,genus
ingafa,Inga,laurina,Fabaceae-mimosoideae,0.675619396,species
ingafi,Inga,filiformis,Fabaceae-mimosoideae,0.575244353,genus
ingago,Inga,goldmanii,Fabaceae-mimosoideae,0.557092339,species
