sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
CORDAL,Cordia,alliodora,Boraginaceae,T,20,60,685,2.62120997773382,-1.14713622422703,0.455437259,31.60068879,0.005605,4.82717022660022,-2.62120997773382,1.14713622422703,1,1,3,1,13,9,60,cordal,2.62120997773382,1.14713622422703
CORDBI,Cordia,bicolor,Boraginaceae,M,16,61,3236,1.53445397186412,-0.452953896913359,0.373401035,24.79738584,0.01621625,6.68192956244799,-1.53445397186412,0.452953896913359,1,1,2,1,13,6,61,cordbi,1.53445397186412,0.452953896913359
CORDLA,Cordia,lasiocalyx,Boraginaceae,M,10,62,3043,0.165579515940423,0.0662581248070461,0.39744,13.87441039,0.042325,7.28550654852279,-0.165579515940423,-0.0662581248070461,1,2,2,5,1,11,62,cordla,0.165579515940423,-0.0662581248070461
COU2CU,Coussarea,curvigemmia,Rubiaceae,U,3,63,3043,-1.06338478979241,0.20357607137527,0.622066058,12.895,0.018453,7.5522372875608,1.06338478979241,-0.20357607137527,1,3,2,3,4,20,63,cou2cu,-1.06338478979241,-0.20357607137527
COUTHE,Coutarea,hexandra,Rubiaceae,U,-9,64,13,0.360508781189053,-0.667853274539612,0.612656967,9.55517093,0.005,0.82667857318447,-0.360508781189053,0.667853274539612,1,2,2,5,5,17,64,couthe,0.360508781189053,0.667853274539612
CROTBI,Croton,billbergianus,Euphorbiaceae,U,5,65,2480,4.51839141012482,1.30727857024768,0.478425261,20.49815256,NA,6.41416128658871,-4.51839141012482,-1.30727857024768,1,1,1,1,6,5,65,crotbi,4.51839141012482,-1.30727857024768
CUPACI,Cupania,cinerea,Sapindaceae,M,16,66,51,-0.105010864032844,0.400548536268329,0.500160142,8.324898624,0.166655,2.164963715118,0.105010864032844,-0.400548536268329,1,2,2,5,1,10,66,cupaci,-0.105010864032844,-0.400548536268329
CUPALA,Cupania,latifolia,Sapindaceae,T,30,67,295,0.654711539818169,-1.0313115607193,0.55386457,17.81993805,0.086303333,3.92338676407846,-0.654711539818169,1.0313115607193,1,2,3,2,5,17,67,cupala,0.654711539818169,1.0313115607193
CUPARU,Cupania,rufescens,Sapindaceae,T,20,68,523,-1.21035974071401,-0.607146853156816,0.60424764,13.40174175,0.139102222,4.49344022204478,1.21035974071401,0.607146853156816,1,3,2,3,4,20,68,cuparu,-1.21035974071401,0.607146853156816
CUPASY,Cupania,seemannii,Sapindaceae,U,5,69,3020,-3.23267200639137,-0.856468612444033,0.66539857,12.95748178,0.120431333,7.04153664036187,3.23267200639137,0.856468612444033,1,3,2,3,10,15,69,cupasy,-3.23267200639137,0.856468612444033
CYPHHA,Solanum,circinatum,Solanaceae,S,2,70,18,2.57498077975955,2.82327660272129,NA,5.256,NA,1.18958406687384,-2.57498077975955,-2.82327660272129,1,1,1,4,7,7,70,cyphha,2.57498077975955,-2.82327660272129
DENDAR,Dendropanax,arboreus,Araliaceae,T,30,71,775,1.49583061646121,-1.83037268043088,0.411094288,24.49651032,0.00598,4.80402104473326,-1.49583061646121,1.83037268043088,1,1,3,2,12,8,71,dendar,1.49583061646121,1.83037268043088
DES2PA,Desmopsis,panamensis,Annonaceae,U,3,72,3005,-1.44796027465027,1.44796235002423,0.536031328,10.85166667,0.108016746,9.36096238439341,1.44796027465027,-1.44796235002423,1,3,1,3,8,18,72,des2pa,-1.44796027465027,-1.44796235002423
DIO2AR,Diospyros,artanthifolia,Ebenaceae,M,16,73,438,-1.07151063073955,-0.987110477162431,0.640629878,18.0911718,NA,4.35670882668959,1.07151063073955,0.987110477162431,1,3,3,3,4,16,73,dio2ar,-1.07151063073955,0.987110477162431
DIPTPA,Dipteryx,oleifera,Fabaceae:Papil.,T,30,74,307,-0.052856703521606097,-2.86752108190991,0.877632683,43.3935854,1.191647857,3.93741223943297,0.052856703521606097,2.86752108190991,1,2,3,2,11,4,74,diptpa,-0.052856703521606097,2.86752108190991
DRYPST,Drypetes,standleyi,Euphorbiaceae,T,20,75,3307,-1.6903694353053,-0.89242594964919,0.617793046,28.72238366,0.067596,7.69809398538771,1.6903694353053,0.89242594964919,1,3,2,3,10,20,75,drypst,-1.6903694353053,0.89242594964919
ENTESC,Enterolobium,schomburgkii,Fabaceae:Mimos.,T,40,76,77,0.13272675567973,-2.45198343357632,0.635958549,15.23395535,0.04415,2.54272622067683,-0.13272675567973,2.45198343357632,1,2,3,2,12,4,76,entesc,0.13272675567973,2.45198343357632
ERY1CO,Erythrina,costaricensis,Fabaceae:Papil.,U,5,77,1050,0.306006544958129,0.950657524446993,0.500062845,9.4175,NA,5.07338650465973,-0.306006544958129,-0.950657524446993,1,2,2,5,3,11,77,ery1co,0.306006544958129,-0.950657524446993
ERY2MA,Erythroxylum,macrophyllum,Erythroxylaceae,M,4,78,1570,-0.427338125111507,1.40992294781417,0.643069929,12.89,NA,5.63835466933375,0.427338125111507,-1.40992294781417,1,2,1,4,3,14,78,ery2ma,-0.427338125111507,-1.40992294781417
